 1.34626087e-02  8.92936570e+00  1.34626087e-02  7.81305844e+00  1.34626087e-02  7.81329589e+00  1.34626087e-02  1.48824002e+00  1.34626087e-02  6.10389155e-01  1.34626087e-02  1.32018724e+00  1.34626087e-02  3.79973009e-04  1.34626087e-02  1.74976502e-01  1.34626087e-02  1.21344300e-09  1.34626087e-02  1.48822514e-05  1.34626087e-02  1.38649609e-04 
 1.44626087e-02  7.33124127e+00  1.44626087e-02  7.81973526e+00  1.44626087e-02  7.81963134e+00  1.44626087e-02  1.22188373e+00  1.44626087e-02  6.10707922e-01  1.44626087e-02  1.03916384e+00  1.44626087e-02  3.11967714e-04  1.44626087e-02  1.43661248e-01  1.44626087e-02  6.30207555e-12  1.44626087e-02  1.22187151e-05  1.44626087e-02  1.12008889e-04 
 1.54626087e-02  6.01918623e+00  1.54626087e-02  7.79564510e+00  1.54626087e-02  7.79526722e+00  1.54626087e-02  1.00320607e+00  1.54626087e-02  6.08644266e-01  1.54626087e-02  1.02439093e+00  1.54626087e-02  2.56135584e-04  1.54626087e-02  1.17948822e-01  1.54626087e-02  5.00479378e-12  1.54626087e-02  1.00319603e-05  1.54626087e-02  9.01756994e-05 
 1.64626087e-02  4.94201105e+00  1.64626087e-02  7.74691796e+00  1.64626087e-02  7.74632130e+00  1.64626087e-02  8.23675371e-01  1.64626087e-02  6.04674018e-01  1.64626087e-02  1.00863530e+00  1.64626087e-02  2.10298342e-04  1.64626087e-02  9.68379413e-02  1.64626087e-02  3.94337456e-12  1.64626087e-02  8.23667135e-06  1.64626087e-02  7.22889505e-05 
 1.74626087e-02  4.05767680e+00  1.74626087e-02  7.67857369e+00  1.74626087e-02  7.67780346e+00  1.74626087e-02  6.76285103e-01  1.74626087e-02  5.99186804e-01  1.74626087e-02  9.90990107e-01  1.74626087e-02  1.72667098e-04  1.74626087e-02  7.95057704e-02  1.74626087e-02  3.07668574e-12  1.74626087e-02  6.76278340e-06  1.74626087e-02  5.76415000e-05 
 1.84626087e-02  3.33166335e+00  1.84626087e-02  7.59472077e+00  1.84626087e-02  7.59381394e+00  1.84626087e-02  5.55281852e-01  1.84626087e-02  5.92501485e-01  1.84626087e-02  9.70444964e-01  1.84626087e-02  1.41772909e-04  1.84626087e-02  6.52763248e-02  1.84626087e-02  2.37121762e-12  1.84626087e-02  5.55276300e-06  1.84626087e-02  4.56526978e-05 
 1.94626087e-02  2.73562682e+00  1.94626087e-02  7.49871966e+00  1.94626087e-02  7.49770647e+00  1.94626087e-02  4.55941603e-01  1.94626087e-02  5.84878833e-01  1.94626087e-02  9.45063493e-01  1.94626087e-02  1.16409652e-04  1.94626087e-02  5.35943807e-02  1.94626087e-02  1.80056265e-12  1.94626087e-02  4.55937044e-06  1.94626087e-02  3.58457998e-05 
 2.04626087e-02  2.24629594e+00  2.04626087e-02  7.39331687e+00  2.04626087e-02  7.39222201e+00  2.04626087e-02  3.74385777e-01  2.04626087e-02  5.76531954e-01  2.04626087e-02  9.10551612e-01  2.04626087e-02  9.55870613e-05  2.04626087e-02  4.40039690e-02  2.04626087e-02  1.34574360e-12  2.04626087e-02  3.74382033e-06  2.04626087e-02  2.78293998e-05 
 2.14626087e-02  1.84456501e+00  2.14626087e-02  7.28075514e+00  2.14626087e-02  7.27959877e+00  2.14626087e-02  3.07430063e-01  2.14626087e-02  5.67634835e-01  2.14626087e-02  8.53758662e-01  2.14626087e-02  7.84921279e-05  2.14626087e-02  3.61306716e-02  2.14626087e-02  1.00080524e-12  2.14626087e-02  3.07426989e-06  2.14626087e-02  2.12821695e-05 
 2.24626087e-02  1.51474875e+00  2.24626087e-02  7.16286388e+00  2.24626087e-02  7.16166243e+00  2.24626087e-02  2.52460229e-01  2.24626087e-02  5.58329372e-01  2.24626087e-02  7.52073018e-01  2.24626087e-02  6.44573938e-05  2.24626087e-02  2.96670605e-02  2.24626087e-02  7.72673734e-13  2.24626087e-02  2.52457705e-06  2.24626087e-02  1.59403230e-05 
 2.34626087e-02  1.24397030e+00  2.34626087e-02  7.04113339e+00  2.34626087e-02  7.03990023e+00  2.34626087e-02  2.07330111e-01  2.34626087e-02  5.48731132e-01  2.34626087e-02  6.26109628e-01  2.34626087e-02  5.29349065e-05  2.34626087e-02  2.43607271e-02  2.34626087e-02  6.27857165e-13  2.34626087e-02  2.07328038e-06  2.34626087e-02  1.15873195e-05 
 2.44626087e-02  1.02165850e+00  2.44626087e-02  6.91677584e+00  2.44626087e-02  6.91552185e+00  2.44626087e-02  1.70277835e-01  2.44626087e-02  5.38934086e-01  2.44626087e-02  5.15704402e-01  2.44626087e-02  4.34748296e-05  2.44626087e-02  2.00044442e-02  2.44626087e-02  5.15947879e-13  2.44626087e-02  1.70276132e-06  2.44626087e-02  8.04540683e-06 
 2.54626087e-02  8.39135149e-01  2.54626087e-02  6.79077532e+00  2.54626087e-02  6.78950930e+00  2.54626087e-02  1.39857024e-01  2.54626087e-02  5.29014500e-01  2.54626087e-02  4.24541025e-01  2.54626087e-02  3.57078787e-05  2.54626087e-02  1.64280851e-02  2.54626087e-02  4.24582981e-13  2.54626087e-02  1.39855625e-06  2.54626087e-02  5.16867748e-06 
